country,s1,s2,s3,s4,s5,s6,s7,SN,A,PBC,O,SN_1,SN_2,SN_3,SN_4,SN_5,SN_6,SN_7,A_1,A_2,A_3,A_4,A_5,A_6,A_7,PBC_1,PBC_2,PBC_3,PBC_4,PBC_5,PBC_6,PBC_7,O_1,O_2,O_3,O_4,O_5,O_6,O_7,I2,I1,I4,I5,I6,I3,I7,firstDev,secondDev,startDate,endDate,Period
Canada,0.088969698,0.093480829,0.070150317,0.079999311,0.075703077,0.089371519,0.086338359,0.227797965,0.122969257,0.231159297,0.243237258,0.224296206,0.226160222,0.224786642,0.227529129,0.221717156,0.231274536,0.182058179,0.133005898,0.131558135,0.120560331,0.116966931,0.121841064,0.126135595,0.112965653,0.22921426,0.235558334,0.229185339,0.247657907,0.213564737,0.194700424,0.186774108,0.255934363,0.233890791,0.227521025,0.250432402,0.228599652,0.24348278,0.211511086,1,1,1,1,1,1,1,-0.04312115,-0.21826167,12/16/20,12/22/20,8
Canada,0.092987229,0.094230974,0.071309678,0.074579021,0.077996046,0.080206235,0.093902705,0.237888668,0.124269184,0.231261983,0.25061183,0.235749051,0.211467765,0.23618262,0.249331062,0.222533541,0.214372811,0.217710115,0.137490041,0.131928236,0.124836383,0.116721823,0.122499126,0.120084804,0.117705119,0.232943786,0.2295591,0.227119206,0.24801335,0.196436004,0.191603729,0.193776821,0.279809685,0.243734942,0.233473158,0.255005909,0.201680677,0.235575161,0.218582981,1,1,1,1,1,1,1,0.406039767,0.474708768,12/23/20,12/29/20,9
Canada,0.095301408,0.076480807,0.068209827,0.029331785,0.07549342,0.071546704,0.079733489,0.231155902,0.118816292,0.228450666,0.235111672,0.210961173,0.218790903,0.232426747,0.224924625,0.237431653,0.209239431,0.182700077,0.136654954,0.120193376,0.121501599,0.100624662,0.13205678,0.115561321,0.107823375,0.229816219,0.228347486,0.218037552,0.211359814,0.226147261,0.213081093,0.169020828,0.260985595,0.235692378,0.219553964,0.230067817,0.217894106,0.206521626,0.180627113,1,1,1,1,1,1,1,-0.024112004,-0.045477311,12/30/20,1/5/21,10
Canada,0.11609391,0.098227133,0.071656273,0.076261357,0.083324818,0.0861392,0.087171558,0.234554661,0.124929637,0.238096044,0.253004714,0.332701329,0.223550901,0.233941157,0.205319465,0.224761545,0.237664499,0.190214532,0.152130813,0.131834668,0.124445819,0.115519644,0.12511348,0.125601628,0.111055642,0.296851205,0.23844315,0.224099379,0.207045131,0.223257924,0.22286362,0.184369128,0.32119925,0.239375274,0.239482272,0.232401393,0.206519897,0.24365068,0.222665967,1,1,1,1,1,1,1,0.102244389,0.797121653,2/10/21,2/16/21,11
Canada,0.085892952,0.088389002,0.071537895,0.071247768,0.089464005,0.082288178,0.099640981,0.231916463,0.122091315,0.22647568,0.251172612,0.257224991,0.218482452,0.248029831,0.218049354,0.203603944,0.225867987,0.195659116,0.132041297,0.12452561,0.120751095,0.114367988,0.126106183,0.117773177,0.119418552,0.231581393,0.224581241,0.22133672,0.225208309,0.213014712,0.222353751,0.195185229,0.263209509,0.240511715,0.227890539,0.258403118,0.222440495,0.255006249,0.215965738,1,1,1,1,1,1,1,0.056623558,0.126625371,2/17/21,2/23/21,12
Canada,0.103681487,0.091124435,0.081747358,0.076274464,0.098110043,0.097977076,0.100479126,0.233766877,0.122672817,0.231484806,0.249303263,0.246546944,0.226135261,0.219216109,0.227332253,0.2365789,0.242896849,0.204566492,0.140029463,0.122671534,0.124744832,0.117326886,0.132470455,0.131991954,0.120618546,0.223019472,0.244469677,0.234096525,0.213409675,0.203072306,0.215835504,0.175932895,0.262622497,0.235208125,0.245709646,0.26825807,0.174934405,0.260052826,0.213335807,1,1,1,1,1,1,1,-0.001634521,-0.142318723,2/24/21,3/2/21,13
Canada,0.096843152,0.098786525,0.075893756,0.088069142,0.089330088,0.089887209,0.097424609,0.242997188,0.12427353,0.237229504,0.245621025,0.240425693,0.237587859,0.222110842,0.265264821,0.235318858,0.241503219,0.210672848,0.139666521,0.126537228,0.124448102,0.122279005,0.128062467,0.123534159,0.118323922,0.247500941,0.234542572,0.23552251,0.234618597,0.228871412,0.220791692,0.203481268,0.250366582,0.235486562,0.236403543,0.276171688,0.183046854,0.255318227,0.225246235,1,1,1,1,1,1,1,0.026761518,-0.161768465,3/3/21,3/9/21,14
Canada,0.075627361,0.073144926,0.059156354,0.079598641,0.081301256,0.075006683,0.087787363,0.218026252,0.1156832,0.218115926,0.226279964,0.229135471,0.222074841,0.210622226,0.212494585,0.201564648,0.207991722,0.179188252,0.119868432,0.117389626,0.118077426,0.113263626,0.123159112,0.121011634,0.115398801,0.204867554,0.218848995,0.209774427,0.219968767,0.225174101,0.178352356,0.163162995,0.237300338,0.219002069,0.229440345,0.247725131,0.218830824,0.178441645,0.200174439,1,1,1,1,1,1,1,-0.297649247,-0.665954211,3/2/22,3/8/22,15
Canada,0.079071371,0.060711487,0.065500332,0.065246467,0.087877006,0.072306087,0.080152372,0.226113605,0.114012545,0.222797835,0.224804773,0.228475772,0.219792311,0.213659534,0.228581852,0.238365539,0.210312632,0.197965882,0.125503061,0.110478101,0.119221249,0.107589259,0.132995848,0.119031385,0.10880311,0.216231856,0.220958545,0.222019679,0.2151576,0.209478639,0.206365822,0.180258008,0.243422598,0.206790527,0.213292898,0.243290561,0.232533203,0.246324805,0.212769743,1,1,1,1,1,1,1,0.339712209,0.373961188,3/9/22,3/15/22,16
Canada,0.082296645,0.069737403,0.062370839,0.070338941,0.072915054,0.056887803,0.078544123,0.227406535,0.114839068,0.214323874,0.230988569,0.210298504,0.227424771,0.218306198,0.227999798,0.248418137,0.216275817,0.196342863,0.12498978,0.116706817,0.119867423,0.110625457,0.12851157,0.114379078,0.106747886,0.22241959,0.204221278,0.222768657,0.233773726,0.232311531,0.182641662,0.168709057,0.238557602,0.223337567,0.220997423,0.260334337,0.248112895,0.211920483,0.197190261,1,1,1,1,1,1,1,0.789413989,0.575284855,3/16/22,3/22/22,17
