country,type,y,a,I,SN,A,PBC,O
Canada,2,0.9695344,0.9695,1,0.222074841,0.117389626,0.218848995,0.219002069
Canada,2,0.9695344,0.9695,1,0.219792311,0.110478101,0.220958545,0.206790527
Canada,2,0.9695344,0.9695,1,0.227424771,0.116706817,0.204221278,0.223337567
Canada,2,0.9695344,0.9695,1,0.209504107,0.115238928,0.210727389,0.208194753
Canada,2,0.9695344,0.9695,1,0.202818298,0.116656321,0.203949326,0.225349012
Canada,2,0.9695344,0.9695,1,0.221097133,0.119838696,0.216401403,0.235631048
Canada,2,0.9695344,0.9695,1,0.213215935,0.120313692,0.213693328,0.232960464
Canada,2,0.9695344,0.9695,1,0.225656769,0.119814153,0.217136725,0.225269363
United Kingdom,2,-2.10119E-06,0.9695,0,0.218942366,0.109550779,0.210874771,0.260532136
United Kingdom,2,-2.10119E-06,0.9695,0,0.207475522,0.108227182,0.213815387,0.267538215
United Kingdom,2,-2.10119E-06,0.9695,0,0.218559504,0.11797167,0.202429483,0.257289368
United Kingdom,2,0.9695344,0.9695,1,0.232708139,0.124296958,0.21351008,0.265164458
United Kingdom,2,0.9695344,0.9695,1,0.237637818,0.126216044,0.217811701,0.284090031
United Kingdom,2,0.9695344,0.9695,1,0.241108584,0.117883055,0.211059524,0.280571516
United Kingdom,2,0.9695344,0.9695,1,0.235649092,0.125827816,0.216268419,0.269572515
United Kingdom,2,0.9695344,0.9695,1,0.230175284,0.121657128,0.210318036,0.259074635
United Kingdom,2,0.9695344,0.9695,1,0.250308723,0.131467824,0.223920664,0.271924869
United Kingdom,2,0.9695344,0.9695,1,0.244229196,0.133473198,0.223802624,0.271652147
United Kingdom,2,0.9695344,0.9695,1,0.20550104,0.119016722,0.189264269,0.220828629
United Kingdom,2,0.9695344,0.9695,1,0.228551134,0.123398631,0.200337572,0.236551424
United Kingdom,2,0.9695344,0.9695,1,0.234796249,0.124961528,0.215103111,0.241749209
United Kingdom,2,0.9695344,0.9695,1,0.225245164,0.12497296,0.204720231,0.245886125
United Kingdom,2,0.9695344,0.9695,1,0.218372297,0.122821724,0.20693062,0.241220201
United Kingdom,2,0.9695344,0.9695,1,0.223734333,0.124412618,0.209111984,0.231178358
United Kingdom,2,0.9695344,0.9695,1,0.216168372,0.123480487,0.206694442,0.238172438
United Kingdom,2,0.9695344,0.9695,1,0.233334789,0.138318198,0.241764486,0.260433106
United Kingdom,2,0.9695344,0.9695,1,0.222243314,0.128885333,0.216255143,0.246764636
United Kingdom,2,0.9695344,0.9695,1,0.224602564,0.124404518,0.222318479,0.261821484
United Kingdom,2,0.9695344,0.9695,1,0.21834769,0.125244103,0.201697753,0.240446717
United Kingdom,2,0.9695344,0.9695,1,0.217919504,0.120625135,0.210497866,0.241296686
United States,2,0.9695344,0.9695,1,0.217128952,0.119086517,0.217803387,0.239342351
United States,2,0.9695344,0.9695,1,0.210906695,0.122894388,0.216890012,0.239943283
United States,2,0.9695344,0.9695,1,0.216269826,0.125133933,0.204839811,0.194650197
United States,2,0.9695344,0.9695,1,0.215036572,0.130718571,0.21293826,0.225371251
United States,2,0.9695344,0.9695,1,0.227868839,0.136250146,0.216125131,0.24497774
United States,2,0.9695344,0.9695,1,0.233179955,0.134938248,0.21795881,0.252627013
United States,2,0.9695344,0.9695,1,0.234822779,0.135257758,0.225325722,0.256612721
United States,2,0.9695344,0.9695,1,0.235462107,0.132293825,0.223158471,0.253480042
United States,2,0.9695344,0.9695,1,0.241624478,0.128272349,0.218225984,0.253753818
United States,2,0.9695344,0.9695,1,0.233949512,0.128914296,0.21946328,0.250092517
United States,2,0.9695344,0.9695,1,0.231655329,0.127155752,0.217557389,0.239090129
United States,2,0.9695344,0.9695,1,0.224765343,0.126674301,0.208054467,0.238688976
United States,2,0.9695344,0.9695,1,0.229556858,0.125301989,0.20880657,0.228102005
United States,2,0.9695344,0.9695,1,0.224745309,0.120595418,0.214216609,0.234269517
United States,2,0.9695344,0.9695,1,0.21960592,0.120236769,0.207333572,0.219592252
United States,2,0.9695344,0.9695,1,0.21546464,0.122333014,0.200917125,0.217322716
United States,2,0.9695344,0.9695,1,0.20814567,0.122469503,0.202937484,0.220844166
United States,2,0.9695344,0.9695,1,0.215651931,0.119327754,0.208044199,0.23130012
United States,2,0.9695344,0.9695,1,0.218684403,0.121964557,0.208159515,0.215133671
United States,2,0.9695344,0.9695,1,0.212704841,0.120133482,0.211175909,0.213300634
United States,2,0.9695344,0.9695,1,0.219723636,0.121919925,0.225496799,0.232980373
United States,2,0.9695344,0.9695,1,0.220417937,0.124450798,0.224690162,0.234661249
Australia,3,0,-0.9947,0,0.198990251,0.12110199,0.21801964,0.203485508
Australia,3,0,-0.9947,0,0.180030313,0.124782641,0.191416657,0.206679135
Australia,3,0,-0.9947,0,0.267918834,0.121900654,0.251051441,0.223989998
Australia,3,0,-0.9947,0,0.215219468,0.126049221,0.223932844,0.217641683
Australia,3,0,-0.9947,0,0.23296284,0.107391645,0.225585198,0.228038656
Australia,3,-0.9947349,-0.9947,1,0.222142416,0.122431766,0.212967341,0.219641791
Australia,3,-0.9947349,-0.9947,1,0.209993843,0.12402103,0.199108171,0.218908229
Australia,3,-0.9947349,-0.9947,1,0.22929089,0.120265387,0.233842983,0.219369117
Australia,3,-0.9947349,-0.9947,1,0.212354525,0.123994283,0.247343277,0.229592731
Australia,3,-0.9947349,-0.9947,1,0.229249281,0.119235869,0.219031747,0.224427172
Australia,3,-0.9947349,-0.9947,1,0.178333089,0.117575255,0.220956059,0.216135055
Australia,3,-0.9947349,-0.9947,1,0.219675659,0.121566721,0.226321012,0.230906195
Australia,3,-0.9947349,-0.9947,1,0.210230015,0.112384113,0.214297541,0.224492025
Australia,3,-0.9947349,-0.9947,1,0.19151925,0.111631622,0.197685566,0.213804797
Australia,3,-0.9947349,-0.9947,1,0.201773954,0.108461029,0.212273109,0.231295163
Australia,3,-0.9947349,-0.9947,1,0.203421782,0.115993988,0.210123409,0.228923286
Australia,3,-0.9947349,-0.9947,1,0.216304437,0.11629973,0.22637612,0.233289875
Australia,3,-0.9947349,-0.9947,1,0.213632296,0.10933914,0.209961612,0.227313755
Australia,3,-0.9947349,-0.9947,1,0.214811681,0.111243453,0.215449841,0.219252676
Australia,3,-0.9947349,-0.9947,1,0.207575813,0.116483429,0.205042744,0.227193047
Australia,3,-0.9947349,-0.9947,1,0.203270334,0.113052435,0.211222631,0.229981809
Australia,3,-0.9947349,-0.9947,1,0.204885231,0.119729603,0.219845117,0.219862865
Australia,3,-0.9947349,-0.9947,1,0.220759289,0.10870362,0.242656511,0.239175407
Canada,3,0,-0.9947,0,0.223569857,0.111649201,0.222220102,0.232817452
Canada,3,0,-0.9947,0,0.219657025,0.118204075,0.231741391,0.235221831
Canada,3,0,-0.9947,0,0.223637961,0.115317019,0.230560195,0.236736413
Canada,3,0,-0.9947,0,0.231167063,0.128681222,0.225105202,0.237258716
Canada,3,-0.9947349,-0.9947,1,0.231154568,0.128234486,0.225761052,0.234843156
Canada,3,-0.9947349,-0.9947,1,0.225770034,0.126546816,0.230394926,0.234132175
Canada,3,-0.9947349,-0.9947,1,0.238984446,0.123541936,0.226882754,0.232321542
Canada,3,-0.9947349,-0.9947,1,0.224786642,0.120560331,0.229185339,0.227521025
Canada,3,-0.9947349,-0.9947,1,0.23618262,0.124836383,0.227119206,0.233473158
Canada,3,-0.9947349,-0.9947,1,0.232426747,0.121501599,0.218037552,0.219553964
Canada,3,-0.9947349,-0.9947,1,0.233941157,0.124445819,0.224099379,0.239482272
Canada,3,-0.9947349,-0.9947,1,0.248029831,0.120751095,0.22133672,0.227890539
Canada,3,-0.9947349,-0.9947,1,0.219216109,0.124744832,0.234096525,0.245709646
