country,s1,s2,s3,s4,s5,s8,s6,s7,SN,A,PBC,O,s1_SN,s2_SN,s3_SN,s4_SN,s5_SN,s8_SN,s6_SN,s7_SN,s1_A,s2_A,s3_A,s4_A,s5_A,s8_A,s6_A,s7_A,s1_PBC,s2_PBC,s3_PBC,s4_PBC,s5_PBC,s8_PBC,s6_PBC,s7_PBC,s1_O,s2_O,s3_O,s4_O,s5_O,s8_O,s6_O,s7_O,s2_I,s1_I,s4_I,s5_I,s6_I,s3_I,s7_I,y1,y2,startDate,endDate
Australia,0.065983602,0.068012115,0.019944854,0.08075674,0.09024519,0.05343175,0.082627027,0.111722846,0.013265694,0.115685287,0.017004838,0.025133155,0.01816114,0.013613547,0.013643111,0.018889017,0.015194159,0.010035517,0.017698362,0.021942934,0.116958707,0.117353482,0.10270811,0.118227772,0.131857816,0.112549658,0.125178624,0.137566506,0.030950898,0.020163993,0.017183891,0.01489915,0.018218263,0.012585515,0.021024491,0.021514792,0.03712486,0.023241637,0.055316234,0.030608289,0.019603388,0.015256469,0.029495382,0.03436134,1,1,1,0,1,1,1,0.73,0.490733011,14/7/2021,16/7/2021
Australia,0.083979106,0.080634906,0.058434992,0.065306505,0.073261618,0.052396601,0.089520908,0.085895668,0.01471289,0.11766602,0.018299595,0.02421352,0.016310839,0.014574114,0.014018085,0.022223387,0.020381744,0.011802028,0.018492946,0.021415511,0.125812028,0.124158394,0.113380097,0.108779076,0.119984486,0.112094308,0.130431519,0.119314508,0.034581023,0.020271453,0.019287341,0.01585503,0.024942446,0.013631816,0.022717122,0.020001486,0.038349323,0.022204527,0.060573025,0.022515597,0.022010558,0.01303381,0.032261036,0.034491606,1,1,1,0,1,1,1,0.15,0.521087533,17/7/2021,20/7/2021
Australia,0.081585161,0.074137723,0.054173385,0.068010814,0.081175816,0.058406248,0.077957583,0.094646779,0.014049206,0.118307027,0.020308361,0.022606649,0.016400844,0.014139292,0.015684353,0.026275636,0.022680416,0.009556338,0.013548903,0.023531751,0.12473993,0.11985784,0.11411697,0.114314323,0.126705411,0.115843913,0.121357569,0.122438607,0.040050363,0.021481474,0.020417703,0.014205377,0.026210238,0.015701664,0.024939524,0.02745213,0.031733931,0.024237558,0.050926357,0.019051889,0.02010312,0.012157354,0.023656008,0.039878625,1,1,1,0,1,1,1,0.07,0.000263435,21/7/2021,23/7/2021
Australia,0.047004252,0.063297273,0.054166903,0.077356144,0.075177514,0.047145221,0.062288083,0.084995986,0.014932991,0.114688016,0.020346085,0.028572195,0.021023917,0.014087898,0.016907774,0.021224944,0.024623186,0.011457059,0.016472942,0.023281494,0.111443912,0.114133029,0.117213889,0.124275261,0.122115417,0.112352794,0.113707018,0.119387982,0.036991405,0.022907613,0.021439504,0.015978106,0.027960286,0.015131952,0.022057592,0.021847478,0.034694854,0.026496052,0.053637006,0.032089333,0.02995808,0.021359921,0.02630217,0.037000913,1,1,1,0,1,1,1,0.26,0.160087719,24/7/2021,27/7/2021
Australia,0.083398607,0.075697103,0.062402662,0.071688013,0.106882229,0.057363411,0.076736485,0.093116227,0.014955579,0.117916897,0.021171725,0.024393716,0.016671401,0.013267326,0.016427786,0.02067825,0.017706359,0.013672109,0.016305455,0.023539926,0.128869478,0.117654184,0.112112776,0.1163012,0.141600212,0.113856111,0.121328411,0.129144678,0.04615765,0.0206626,0.020678211,0.01820914,0.032645082,0.016009984,0.0288213,0.027092662,0.037540171,0.02209431,0.052550508,0.023085639,0.024985007,0.015443621,0.028420367,0.030360196,1,1,1,0,1,1,1,-0.13,-0.014571949,28/7/2021,30/7/2021
Australia,0.080079298,0.071264526,0.065760481,0.087126372,0.096949459,0.061772701,0.067745704,0.093409768,0.013838344,0.117599287,0.01995864,0.026155872,0.014711781,0.013246517,0.015917093,0.021659303,0.023110601,0.011288839,0.014362221,0.014505237,0.123088645,0.1166819,0.120292956,0.127416535,0.136454039,0.115765519,0.100362663,0.123029084,0.037594555,0.020506099,0.023500475,0.014306924,0.031056273,0.015355353,0.019961828,0.02813105,0.037502677,0.022828101,0.058023285,0.040136383,0.029019934,0.018176755,0.019833281,0.02784618,1,1,1,0,1,1,1,0,-0.015332094,31/7/2021,3/8/2021
Australia,0.071020067,0.065878886,0.047076773,0.070861719,0.088548553,0.047157466,0.070363448,0.08712735,0.013886926,0.110548225,0.018486682,0.020613065,0.01832245,0.013759349,0.016251872,0.017942692,0.017601755,0.010912912,0.016469974,0.022482932,0.113352781,0.11137319,0.107932753,0.118344689,0.130508543,0.105998577,0.110087558,0.11964209,0.038514603,0.019471539,0.020573328,0.017064633,0.025844918,0.013827497,0.019605037,0.021093484,0.025772426,0.020076372,0.047121183,0.03137781,0.023641447,0.01090093,0.024120488,0.028757616,1,1,1,0,1,1,1,0.17,-0.043838755,4/8/2021,6/8/2021
Australia,0.06075143,0.075747684,0.0586422,0.060239906,0.083325119,0.05284066,0.068783051,0.061456555,0.015806511,0.114077587,0.020343898,0.02050387,0.019592492,0.016341559,0.019285066,0.021694276,0.018782013,0.012175009,0.01562634,0.0236263,0.118211308,0.119516766,0.110155346,0.110921756,0.126946097,0.110074802,0.112306845,0.103402714,0.043594257,0.022762069,0.023940775,0.017370115,0.022894647,0.014798967,0.022631184,0.019987466,0.028989478,0.019067335,0.044589322,0.020615516,0.025888396,0.013193148,0.024592495,0.023869868,1,1,1,0,1,1,1,0.3,0.181086924,7/8/2021,10/8/2021
Australia,0.059244023,0.071609653,0.046092592,0.07164917,0.086241283,0.05364276,0.056021216,0.082918548,0.014372849,0.114213532,0.019686065,0.021763115,0.020942546,0.014837436,0.015726685,0.016630191,0.016985072,0.011025373,0.015351944,0.024625067,0.122769027,0.117116532,0.106525561,0.118660448,0.130272977,0.11041401,0.110191693,0.11940467,0.035379993,0.021250823,0.01810217,0.018473968,0.023701137,0.016495264,0.021899954,0.019291118,0.029071134,0.021643703,0.049026697,0.02022181,0.026209278,0.011404931,0.023932368,0.032178893,1,1,1,0,1,1,1,0.33,0.171472176,11/8/2021,13/8/2021
Australia,0.062289411,0.063535355,0.060014815,0.060962138,0.073943437,0.039830101,0.054960091,0.061682894,0.014371667,0.111174872,0.01906161,0.020686066,0.019570417,0.014394101,0.016661096,0.020700129,0.018635335,0.010982066,0.01550156,0.021168638,0.113143015,0.113229495,0.115214996,0.114310603,0.125394295,0.10656594,0.10870802,0.107232686,0.040149976,0.019762208,0.022278228,0.016145485,0.024850243,0.014731354,0.020670434,0.019315718,0.028163279,0.020442584,0.046811371,0.01761637,0.027990365,0.01252402,0.021192868,0.023964999,1,1,1,0,1,1,1,0.46,0.514097784,14/8/2021,17/8/2021
